"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","click Alert","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","dropdown","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","check box","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","outsideOne @smoke","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","iframe","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","herokuapp","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","Open new window","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","2","textbox","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","nested frame","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","outside @smoke","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","My first test","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","1","E2e","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","mouse Clicks","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","1","dismiss Alert","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","to be hidden","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","radio button","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","Open new tab","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","Drag and drop","chromium","2026-07-28","skipped","2026-07-28","","","",""
"","0","prompt","chromium","2026-07-28","skipped","2026-07-28","","","",""
